                        令和７年度以降入学者,令和２年度以降入学者,教員名,単位数,学年,開講区分,科目群,学期,履修区分,授業形態,授業の形態,授業概要,授業のねらい・到達目標,授業の形式,授業の方法,履修条件,教科書,参考書,成績評価の方法及び基準,オフィスアワー,授業計画
身体の健康,身体の健康,松本恵,2,1～4,文理学部,総合教育科目,前期,選択,遠隔授業（オンデマンド型）,Canvas LMSに提示されるオンデマンド資料を視聴し、合わせて課題研究を提出してもらいます。,心身の健康のための実践的な食事や運動について科学的根拠を基に最新の方法を解説する。担当教員のスポーツ現場での医療従事者（管理栄養士）としての実務経験やスポーツフード開発に関わった経験を基に、身体の健康について解説する。,①加齢に伴い生活習慣病の発症率も高まってくるが、健康保持、増進のためにはどうあるべきかを理解（A-1-1～2）することができる。,講義,①Canvas LMS上で提示するプリント・ビデオ・標本を用いて自分の身体構造、機能を知ってもらい、運動不足・オーバーカロリーによる問題点など、食と健康についての科学的根拠や最新の情報を解説する。,授業開始前にCHIPSによる抽選を行う科目です。,なし,必要に応じて資料を配布する。,レポート:授業期間に課題として数回と学期末に出題します。(30%)、授業内テスト:授業期間に復習チェックテストを出題します。(50%)、授業参画度:オンデマンド資料の視聴や復習チェックテストで評価します。(20%),Canvas LMS上で対応する。,"ガイダンス（授業のテーマや到達目標及び授業の方法について説明する）（A-1）,食生活と健康の基本（A-1, A-2, A-3）,食べ物の消化吸収 三大栄養素（A-1，A-3，A-4）,食べ物の消化吸収 ビタミン・ミネラル（A-1，A-3，A-4）,消化管の役割 大腸のはたらき（A-1，A-3，A-4）,大腸の健康① 大腸がんについて（A-1，A-3，A-4）,大腸の健康② プレバイオ・プロバイオティクスとは（A-1，A-3，A-4）,運動と消化管機能（A-1，A-3，A-4）,運動と大腸がん（A-1，A-3，A-4）,認知症予防の食生活（A-1，A-3，A-4）,サプリメントと食生活（A-1，A-3，A-4）,メンタルヘルスと食事（A-1，A-3，A-4）,理解度の確認と解説（A-1，A-3，A-4）,これまでの講義内容・フィードバックを確認する。（A-1，A-3，A-4）,最新の健康のための食生活について調べ、計画を立てる。（A-1，A-3，A-4、A-5）"
地球環境の変動と生命史,地球環境の変動と生命史,小森次郎,2,1～4,文理学部,総合教育科目,前期,選択,対面授業（一部遠隔授業）,,変化を続ける地球の環境を，46億年の地球環境変遷，人類史，現在と未来，といった多様な視点で学ぶ．授業では，学習者自身の手足を使い，周囲との議論や発表を含めて理解を深める．,過去に絶滅した生命と同じような一つの「生命史」としてヒトという種を完結させないためにも，人類の営みを持続可能なものにすることが重要であることを理解できるようになる．また，現在の地球が，地球史という時間，宇宙という空間の中のごくわずかな一片であり，気圏・水圏・雪氷圏・地圏と生命は相互に影響しあいながら変化を続けてきたことを理解し他者へ自身の言葉で説明ができるようになる．,講義,対面式の授業を行う中で，スライドと配布資料，動画をつかった学習以外に，自らの手足をつかった地球史年表の作成や，教室内での簡易な実験，グループでのディスカッションを行う．さらに，各自の授業外学習によって準備された資料をつかったプレゼンテーションの機会を設ける．,授業開始前にCHIPSによる抽選を行う科目です。,指定の教科書は無い．,使用しない,授業内テスト:授業内テスト（筆記式）を全15回の授業のうち2回実施(40%)、授業参画度:授業開始時のアンケート、および終了時の理解度チェックを兼ねたリアクションペーパーの提出を求めます（Web経由の提出）(40%)、授業内の作業や自由質疑への姿勢(20%),水曜日2限,"・ガイダンス．授業の進め方の解説（A-3-1）（A-4-1）（A-5-1）,前半：世界の氷河の分布．大陸氷床の変化．（A-3-1）（A-4-1）（A-5-1）,山岳氷河における環境変化と災害の事例（A-3-1）（A-4-1）（A-5-1）,地球史年表の作成（A-3-1）（A-4-1）（A-5-1）,生命の進化と化石・鉱物資源（A-3-1）（A-4-1）（A-5-1）,固体地球の海陸の配置の変遷，大量絶滅，大型生物や恐竜の出現から絶滅の時代まで（A-3-1）（A-4-1）（A-5-1）,身近な堆積物から考える人新世．（A-3-1）（A-4-1）（A-5-1）,近年の気候変動・大気組成変動（A-3-1）（A-4-1）（A-5-1）,孤島の文明崩壊危機の事例（A-3-1）（A-4-1）（A-5-1）,銀河系、太陽系の中の地球の位置（A-3-1）（A-4-1）（A-5-1）,地球温暖化の認知の歴史（A-3-1）（A-4-1）（A-5-1）,廃棄物処理に関わるタイムスケール -身近な地層から考える- （A-3-1）（A-4-1）（A-5-1）,資源・エネルギーの利用の光と影 人類の選択１（A-3-1）（A-4-1）（A-5-1）,資源・エネルギーの利用の光と影 人類の選択２,資源・エネルギーの利用の光と影 人類の選択３（A-3-1）（A-4-1）（A-5-1）"
気象と環境変化,,森島済,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,地球温暖化に伴って生じているとされる気候変動は，日常的には日々の気象現象が積算された形で現れている．近年においては，大雨や豪雪，強風といった極端な気象現象が，日常的とも言えるほど頻繁に生じており，我々の日々の生活や社会に大きな影響を与えている．一方で，気象現象は天気予報が行われているとおり，数日程度であれば比較的確度の高い予測を行うことが可能であり，気象現象に対する十分な理解があればこれによるリスクを回避することも可能となってくる．本講義では，様々な時空間スケールで生じている気象現象とその仕組みを概説すると共に，極端な気象現象やその頻度の変化による環境への影響を紹介する．,(1)様々な気象現象とそれらが発生する地域や季節，頻度などの特徴を，日本及び取り上げた海外の具体例と共に説明できる．,講義,パワーポイントを利用した講義を行い，授業の数回に１度，小テスト(確認問題）を実施する。リアクションペーパーなどの提出を適宜求め，フィードバックを行う．,副専攻科目となっているため，文系・社系学科が優先的に履修できます。,使用しない,小倉義光 『一般気象学』 東京大学出版会 2016年 第2版補訂版,授業内テスト(40%)、授業参画度:リアクションペーパー及び確認問題の回答状況(60%),木曜日 8号館5階A-504研究室 要メールでの事前確認,"ガイダンス 気象と気象要素,日本の季節と気圧配置,地上天気図と高層天気図の読み方,大気の熱力学,雲と降水過程,大気における放射,大気の運動,温帯低気圧と前線,熱帯低気圧,異常気象とテレコネクション,豪雨をもたらす線状降水帯,豪雪とJPCZ,積乱雲と極端な大気現象,地球温暖化時代の異常気象,授業内試験 解説とまとめ"
日本の自然と災害,日本の自然と災害,戸田真夏,2,1～4,文理学部,総合教育科目,後期,選択,対面授業（一部遠隔授業）,基本的に対面の授業,湿潤変動帯に位置する我が国で発生する自然災害の中から、震災、土砂災害、火山災害を取り上げ、発生のメカニズムや被災状況を実例を示しながら解説します。防災コンサルタントとしての実務経験から得られた知識と現地調査した際に撮影した写真を多く紹介します。,四季の変化が明瞭で地形の複雑なわが国では、人々の生活が自然環境に大きく影響されています。湿潤な気候条件で変動帯に位置するという地形条件は、人々に恩恵をもたらすとともに時として災害を引き起こします。プラスの面とマイナスの面とを同時にもった自然環境に対して、どのように付き合ってきたのかを理解し、今後どのように付き合う方が良さそうなのか議論できます。,講義,資料を配布し、それに沿って講義を進めます。写真や図を多く見てもらい、視覚によって理解度を高めてもらおうと考えています。,人数が多い場合は抽選で履修者を決めます。その場合、上級生を優先します。,教科書を使用せず、資料を配布します。資料はCanvas LMSにアップするので、各自、授業前に用意して下さい。,授業内で必要に応じて紹介します。,レポート:12月下旬から1月中旬に課すレポート(40%)、授業内テスト:第15回の授業時に行う「授業内テスト」(60%),授業開始前に教室で質問等を受け付けます。あるいはメールで受け付けます。,"ガイダンス、変動帯について,活断層と地震,地震と地盤の関係,地震の予知,津波の被害,落石と崩壊による土砂災害,地すべりによる土砂災害,土石流による土砂災害,巨大崩壊による土砂災害,土砂災害対策,火山災害の基礎,日本の火山の地形や噴火史,日本の火山と海外の火山との比較,三宅島噴火の影響,総括 授業内テストで理解度を判定するとともに、これまでの復習・解説を行う"
ゲノム改変と私たちの生活,ゲノム改変と私たちの生活,河本夏雄,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,生命の設計図であるゲノムの解析が様々な生物で急速に進み、遺伝子組換え技術が実用化されて、農業や医療の分野で利用されている。最近では、ゲノムを狙い通りに改変するゲノム編集技術の開発が急速に進んでいる。本講義では、ゲノムや遺伝子とは何か、どのような方法でゲノムを改変するのか、ゲノム改変技術がどのように実用化されているのか等を学ぶ。また、ゲノム改変技術の規制の国際調和に関する国際機関での実務経験をもとに、その安全性や規制の考え方、社会的受容、将来展望について解説する。,＜授業のねらい＞,講義,・ 液晶プロジェクターを用いた対面授業形式で行う。Canvas LMSを通じて、事前に資料を配布する。,CHIPSによる抽選を行う。,使用しない,使用しない,試験(70%)、レポート:グループディスカッションでのレポート(30%),オフィスアワーは設けないが、随時メールなどで質問を受け付ける。,"『ガイダンス及び生物学上の研究の歴史』,『遺伝資源～その保存・活用と生物多様性保全の取組み』,『育種～歴史と作物改良の必要性～』,『育種～作物改良の方法：交雑育種と突然変異育種』,『動物と昆虫の育種～動物と人間の関り、家畜化から品種改良まで』,『育種～作物改良の方法：細胞融合、遺伝子組換え技術とゲノム編集技術』,『植物の遺伝子組換え技術と開発の必要性と開発された作物の特徴～除草剤耐性作物と害虫抵抗性作物』,『植物の遺伝子組換え技術と開発の必要性と開発された作物の特徴～病害抵抗性作物と機能性作物』,『植物のゲノム編集技術と研究開発されている作物』,『動物と昆虫の遺伝子組換えとゲノム編集～技術の基礎と応用事例』,『遺伝子組換えとゲノム編集の規制の国際的取り組み～条約や国際機関における取組み』,『遺伝子組換えとゲノム編集の規制の国内規制と表示』,『グループディスカッション：ゲノム改変技術の社会受容のための方策』,『農業分野以外におけるバイオテクノロジー』,『まとめと期末試験（配布資料閲覧可能）』"
環境と生命のつながり,環境と生命のつながり,新津修平,2,1～4,文理学部,総合教育科目,前期,選択,対面授業,対面授業を行う。,前半では、多様な生物が生息する地球環境がどのように形成されてきたのかを概説する。後半では、人間の活動によって自然環境がどのように変化しているのかを説明し、環境問題の現状を把握することをめざす。そして、自然環境の保全に向けたさまざまな取り組みを学習し、地球環境の健全性を維持するために私たちに何ができるのか、生態系と人間社会の関わりについて解説する。,＜知識＞,講義,・Canvas LMSから講義資料をダウンロードし，各自でプリントしたものを講義時に参照する．,,教科書は必要としない．Canvas LMSを通じて講義資料を配布する．,授業時に随時紹介する．,試験(60%)、授業内テスト:小テスト（40%）、期末テスト（60%）(40%),Canvas LMSのメール機能を通じて随時受け付ける。,"「イントロダクション」生物とは何か－生物の共通性－【対面授業】,生物と地球環境【対面授業】,生態系の機能と物質循環 【対面授業】,地球環境の成立と生命の誕生【対面授業】,生物の多様性とその体系【対面授業】,人間活動と生態系【対面授業】,公害と環境汚染【対面授業】,地球温暖化がもたらす影響【対面授業】,酸性化する大気と海洋【対面授業】,オゾン層破壊【対面授業】,地球のエネルギー資源【対面授業】,水と人間活動【対面授業】,生態系の危機と生物多様性の保全【対面授業】,ごみ問題と循環型社会の構築【対面授業】,[期末試験とその解説]"
身のまわりの生命現象,身のまわりの生命現象,神村圭亮,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,私たちの身体や暮らしに関わる様々な生命現象のメカニズムについて講義する。生命現象において遺伝子や分子が果たす役割を理解する。,<知識>,講義,・授業前に Canvas LMS を通して、教材 (PDF) を配信する。受講生はその教材を用いて予習する。,,Canvas LMS を通してスライド資料を配布します。,なし,授業内テスト:学期末に授業内テストを行う。これにより、「論理的・批判的思考力 (A-3-1)」、「問題発見・解決力 (A-4-1)」及び「挑戦力 (A-5-1)」を評価する。(30%)、授業参画度:毎回配布する小課題の提出状況を評価する。(70%),講義終了後及び Canvas LMS による質問を受付ける。,"ガイダンス、「生物基礎のまとめ」,「血液型」,「腸内細菌」,「神経細胞とシナプス」,「記憶」,「食欲」,「睡眠」,「薬物依存」,「がんの発症」,「がんの治療」,「iPS細胞」,「ウイルス感染」,「花粉症と食物アレルギー」,「授業内容全体に関するディスカッション」,「理解度の確認と解説」"
データと対話するための統計学,データと対話するための統計学,菅野剛,2,1～4,文理学部,総合教育科目,後期,選択必修,対面授業,PC教室で実施予定（ Google Classroom のクラスへの参加方法は Canvas LMS に掲載）。,現代社会では、あらゆる分野で統計学が重要になってきています。統計学的な考え方を学びます。多くの時間をかけて地道に学び、理解を積み重ねていきます。,＜授業のねらい＞,講義、演習、実習,毎回の理解の積み重ねが大切です。教科書を早めに購入をして下さい。後半で難しくなります。,CHIPS による抽選を行う,三中信宏 『みなか先生といっしょに 統計学の王国を歩いてみよう』 羊土社 2015年,AP®︎ Statistics | Math | Khan Academy,授業内テスト(85%)、課題(15%),授業時間帯の前後を中心に対応。,"統計学を学ぶ意義、1. データ解析の第一歩 / Exploring categorical data. (A-3-1),2. データの位置とばらつきの可視化 / 2. Displaying and describing.（A-3-1）（A-4-1）（A-5-1）,3. データとの「対話」と「モデル」 / 3. Summary statistics.（A-3-1）（A-4-1）（A-5-1）,4. 統計モデリング / 4. Percentiles, z-scores, and the normal distribution.（A-3-1）（A-4-1）（A-5-1）,5. ばらつきの数値化 / 5. two-variable quantitative data. （A-3-1）（A-4-1）（A-5-1）,6. 自由度 / 6. Collecting data. （A-3-1）（A-4-1）（A-5-1）,7. 確率変数と確率分布 / 7. Probability. （A-3-1）（A-4-1）（A-5-1）,8. 正規分布 / 8. Random variables and probability distributions.（A-3-1）（A-4-1）（A-5-1）,9. パラメトリック統計学 / 9. Sampling distributions.（A-3-1）（A-4-1）（A-5-1）,10. 確率分布 / 10. Inference for categorical data.（A-3-1）（A-4-1）（A-5-1）,11. 実験計画 / 11. Inference for quantitative data.（A-3-1）（A-4-1）（A-5-1）,12. 完全無作為化法の分散分析(1) / 12. Chi-square Test. （A-3-1）（A-4-1）（A-5-1）,12. 完全無作為化法の分散分析(2) / 13. Regression.（A-3-1）（A-4-1）（A-5-1）,13. 乱塊法による分散分析 / 14. Prepare for the Exam （A-3-1）（A-4-1）（A-5-1）,授業内テスト （A-3-1）（A-4-1）（A-5-1）"
「障害」の科学,,田中謙,2,1～4,文理学部,総合教育科目,後期,選択,対面授業（一部遠隔授業）,【対面授業（一部変更の可能性あり）】,本科目は「障害」および「障害」のある人々にかかわる社会問題について、人文・社会・自然科学から多角的に学修することを通して、「障害」とは何なのかを考え、学修者一人ひとりの「障害」観を問うために求められる基礎的知識の習得と、思考フレームワーク体験を目的とする。,本科目は以下３点を目的（授業のねらい・到達目標）に設定する。,講義、オムニバス,授業の形式：【講義】,,教科書は特に指定しない。授業資料は各回指示があるため、それに従うこと。,使用しない,レポート:期末レポート(90%)、授業参画度:学習状況の振り返りに関わる自己評価(10%),授業全体に関しては、オリエンテーション資料および第１回授業資料を通してEメールアドレスを伝えるため、必要に応じてメールで受け付ける。なお、必ず授業内で提示するメールアドレスを使用して連絡すること。各回の内容等に関しては、各回担当の先生に連絡をとること。,"オリエンテーション：科目説明、授業の進め方、「障害」とは何かの概略について概説を行う（A-7-3）。,障害の理解を促進する情報デザインを考える：健常者と障害者は多くの場合に区別される。一方で、近年にはその垣根を超えるための様々なインクルーシブデザインが存在する。本授業では健常者が障害者を理解する取り組みとして存在するデザインを紹介し、議論する。,障害・障害者の概念・定義について考えるー障害とはなにか、障害者とはだれかー：障害・障害者の概念・定義はとても難しく、実にバラバラで統一がなく、混沌としています。なかでも知的障害・発達障害はその極みです。そうした問題状況について検討していきます。,環境汚染と「障害」：有害化学物質による環境汚染と健康の問題について学ぶ,「障害」と情報技術：情報技術は，障害者が社会と繋がり，日常生活を自立して送るために，重要な役割と大きな可能性を持っている。この回では，各種の障害者のための情報技術について，理論と実例に基づいて理解を深めることを目指す。,人間と「障害」:現象学的・人間学的立場から「障害」を理解するということについて学びます。特に、発達障害を持つ人たちの生きる世界についての現象学的精神病理学の知見を紹介し、他者理解についてあらためて考える機会とします。,「障害」とヒューマニズムの問題点：本授業では、障害者差別を生み出すヒューマニズムの問題点を様々な文学作品を例に挙げながら紹介し、人間中心主義・健常者中心主義を乗り越える考え方を検討します。,「障害」と人権侵害：新型コロナウイルス感染症と日本のハンセン病問題から、病気の当事者やその家族に対する差別や偏見の根底にあるものについて考える,ジェンダーと障害：ジェンダー・スタディーズ、フェミニズム、女性学・男性学と呼ばれる学問領域について学びます。高等教育における事例を取り上げ、現状や当事者の抱える困難について議論します。,無気力（アパシー・抑うつ）：無気力（アパシー・抑うつ）に関する心理学的な知識に触れることを通じて，自己理解や他者理解を深めるとともに，大学生活をいきいきと過ごすための方法についても考えていきたいと思います。,海外における「障害」と福祉：1970年代の米国カリフォルニア州立大学バークレー校における障害者自立生活運動から学ぶ,GSC（グリーンサスティナブルケミストリー）と障害：科学が障害を乗り越えて、どのように人類の発展に貢献してきたのか、具体例を振り返りながらGSC（グリーンサスティナブルケミストリー）の考え方を学習する。,発達障害と脳科学：発達障害は、従来の障害の概念とは違い、正常との境目があやふやなスペクトラムという概念を導入するに及んだ。この講義では、脳科学の知見を取り入れ、脳の認知機能を説明し、なぜスペクトラムという概念が入っていたか、その過程をお話ししたい。,“美術館難民”問題について考える：トイレ×ベビーカー動線に着目して「障害」について考えます。,授業総括：本講義を通して、「障害」とは何か自らの意見をまとめ、授業総括を行う（A-6-3）。"
人類の進化,人類の進化,デイビッドスプレイグ,2,1～4,文理学部,総合教育科目,前期,選択,対面授業（一部遠隔授業）,対面授業（状況によって遠隔授業の可能性あり）,ヒトの進化と生物学的多様性を研究する学術分野である自然人類学を中心に、人類の起源と生態及び生活の生物学的な背景を探求する。人類を対象とする自然科学的な研究の歴史や理論を踏まえつつ、他の霊長類種との比較、化石調査の方法と発掘資料の解釈、そして現代の人々の形質的・遺伝的変異を数量的に評価する手法について基礎的な知識を身につける。,生物としての人間の特徴を理解するとともに、それに対する社会の受け止め方について考えることを目標とする。人類の進化に関する書籍が多く出版され、マスコミ報道やネット情報に多く接する機会が増える中、それらを理解して解釈するための基礎的知識を身につける。,講義,・教科書から様々な研究者の視点に接する。追加資料や用語リストをCanvas LMSで配布する。,授業開始前にCHIPSによる抽選を行う科目です。,井原泰雄、梅﨑昌裕、米田穣 『人間の本質にせまる科学：自然人類学の挑戦』 東京大学出版会 2021年,斎藤成也、海部陽介、米田穣、隅山健太 『人類の進化：猿人から原人、旧人、現生人類へ （ブルーバックス）』 講談社 2021年,試験(100%),授業内容に関する質問は教室にて対応する。授業の手続きなどについてはメールで連絡すること（学籍番号と氏名を含めること）。,"授業紹介：人類進化という大テーマ （A-3-1、A-4-1、A-5-1）,自然科学の思想と方法論 （A-3-1、A-4-1、A-5-1）,進化思想と生物の進化 （A-3-1、A-4-1、A-5-1）,霊長類の進化（A-3-1、A-4-1、A-5-1）,霊長類の生態と社会（A-3-1、A-4-1、A-5-1）,霊長類のなかのヒト （A-3-1、A-4-1、A-5-1）,人類起源論と化石発掘調査 （A-3-1、A-4-1、A-5-1）,人類の系統発生 （A-3-1、A-4-1、A-5-1）,アウストラロピテクスに続くホモ・ハビリス以降 （A-3-1、A-4-1、A-5-1）,ホモ・サピエンスの生態と生業 （A-3-1、A-4-1、A-5-1）,数値データと生物学的変異の特徴 （A-3-1、A-4-1、A-5-1）,人類の多様性を測る：形質・生理 （A-3-1、A-4-1、A-5-1）,人類の多様性を測る：遺伝子 （A-3-1、A-4-1、A-5-1）,社会のなかのヒトの生物学的多様性 （A-3-1、A-4-1、A-5-1）,授業総括：生物としてのヒトの未来 （A-3-1、A-4-1、A-5-1）"
人類の進化,人類の進化,デイビッドスプレイグ,2,1～4,文理学部,総合教育科目,前期,選択,対面授業（一部遠隔授業）,対面授業（状況によって遠隔授業の可能性あり）,ヒトの進化と生物学的多様性を研究する学術分野である自然人類学を中心に、人類の起源と生態及び生活の生物学的な背景を探求する。人類を対象とする自然科学的な研究の歴史や理論を踏まえつつ、他の霊長類種との比較、化石調査の方法と発掘資料の解釈、そして現代の人々の形質的・遺伝的変異を数量的に評価する手法について基礎的な知識を身につける。,生物としての人間の特徴を理解するとともに、それに対する社会の受け止め方について考えることを目標とする。人類の進化に関する書籍が多く出版され、マスコミ報道やネット情報に多く接する機会が増える中、それらを理解して解釈するための基礎的知識を身につける。,講義,・教科書から様々な研究者の視点に接する。追加資料や用語リストをCanvas LMSで配布する。,授業開始前にCHIPSによる抽選を行う科目です。,井原泰雄、梅﨑昌裕、米田穣 『人間の本質にせまる科学：自然人類学の挑戦』 東京大学出版会 2021年,斎藤成也、海部陽介、米田穣、隅山健太 『人類の進化：猿人から原人、旧人、現生人類へ （ブルーバックス）』 講談社 2021年,試験(100%),授業内容に関する質問は教室にて対応する。授業の手続きなどについてはメールで連絡すること（学籍番号と氏名を含めること）。,"授業紹介：人類進化という大テーマ （A-3-1、A-4-1、A-5-1）,自然科学の思想と方法論 （A-3-1、A-4-1、A-5-1）,進化思想と生物の進化 （A-3-1、A-4-1、A-5-1）,霊長類の進化 （A-3-1、A-4-1、A-5-1）,霊長類の生態と社会 （A-3-1、A-4-1、A-5-1）,霊長類のなかのヒト （A-3-1、A-4-1、A-5-1）,人類起源論と化石発掘調査 （A-3-1、A-4-1、A-5-1）,人類の系統発生 （A-3-1、A-4-1、A-5-1）,アウストラロピテクスに続くホモ・ハビリス以降 （A-3-1、A-4-1、A-5-1）,ホモ・サピエンスの生態と生業 （A-3-1、A-4-1、A-5-1）,数値データと生物学的変異の特徴 （A-3-1、A-4-1、A-5-1）,人類の多様性を測る：形質・生理 （A-3-1、A-4-1、A-5-1）,人類の多様性を測る：遺伝子 （A-3-1、A-4-1、A-5-1）,社会のなかのヒトの生物学的多様性 （A-3-1、A-4-1、A-5-1）,授業総括：生物としてのヒトの未来 （A-3-1、A-4-1、A-5-1）"
科学史,科学史,武正泰史,2,1～4,文理学部,総合教育科目,後期,選択,対面授業,,古代から近現代までの科学の歴史を講義する。主として西欧を取り扱うが、中国や日本など東アジアについても取り扱う。,（1）現代社会の根幹をなす西欧由来の科学技術の来歴と社会との関わりについて、歴史的な流れを自分の言葉で説明することができる。,講義,配布資料をもとに講義を行う。適宜、スライドやビデオによって捕捉説明を行う。ノートや印刷した配布資料にメモをとることを推奨する。,CHIPSによる抽選を行う。,使用しない,橋本毅彦 『〈科学の発想〉のたずねて－自然哲学から現代科学まで』 左右社 2010年,レポート:中間レポート、求めるテーマについての内容、形式、提出状況によって評価(30%)、授業内テスト:毎回の授業後に提出してもらう小テストと授業内期末試験(50%)、授業参画度:リアクションペーパー、LMS提出(20%),授業後の時間、もしくはメールアドレス（初回の授業で提示）で受け付けます。,"ガイダンス、具体的な授業内容：「科学史」を学ぶことについて,古代ギリシアの科学について,古代ギリシアの数学について,イスラーム文化における科学について,12世紀ルネサンスと中世の科学について,コペルニクス革命について,ガリレオとデカルトについて,ニュートンと万有引力の法則について,フランスにおける化学の歴史について,科学の専門分化と職業化について,戦争と科学の歴史について,中国における数理科学の歴史について,近世日本における数学について,近世日本における蘭学について,授業内試験と学習内容の整理"
情報科学,情報科学,渡辺勇士,2,1～4,文理学部,総合教育科目,後期,選択,対面授業（一部遠隔授業）,対面授業（オンデマンド型動画配信を3回含む）,「情報科学」には様々な定義があります。本講義では「情報科学」の中でも英語の”Computer Science” と共通する領域の基本概念を、Pythonなどのプログラミングを学びながら、習得します。,・ ” Computer Science” の基礎概念がどのようなものか認識できます。,講義、演習、実習,・ プログラミング実習中心の科目です。,・ このシラバスでは、受講者はプログラミング経験が無い人文系・社会系学生を想定しています。,なし,ブライアン・カーニハン（著） 『教養としてのコンピューターサイエンス講義』 日経BP 2020年,レポート:第11回のプログラム課題と最終プログラム課題(30%)、授業参画度:授業ごとの予習レポート・小課題（事後課題）(40%)、各授業の振り返り(30%),随時受け付ける。原則、事前にメールで予約すること。,"ガイダンス,日本のプログラミング教育について,Viscuit を用いたプログラミングを体験します,Viscuit を用いて ""Computer Science"" の基本概念に触れます,Scratch を用いたプログラミングを体験します,Pythonの基礎を学びます,アルゴリズムについて学びます,Pythonを用いた「反復処理」について学びます,Pythonを用いた「条件分岐」について学びます,Pythonを用いた「関数」を学びます,学んだPythonのプログラムを応用をします,Pythonを用いた「情報システム」を学びます（1回目）,Pythonを用いた「情報システム」を学びます（2回目）,「生成AI」について学びます,リフレクション"
,,渡辺勇士,2,1～4,文理学部,総合教育科目,前期,選択,対面授業（一部遠隔授業）,対面授業（オンデマンド型動画配信を3回含む）,「情報科学」には様々な定義があります。本講義では「情報科学」の中でも英語の”Computer Science” と共通する領域の基本概念を、Pythonなどのプログラミングを学びながら、習得します。,・ ” Computer Science” の基礎概念がどのようなものか認識できます。,講義、演習、実習,・ プログラミング実習中心の科目です。,・ このシラバスでは、受講者はプログラミング経験が無い人文系・社会系学生を想定しています。,なし,ブライアン・カーニハン（著） 『教養としてのコンピューターサイエンス講義』 日経BP 2020年,レポート:第11回のプログラム課題と最終プログラム課題(30%)、授業参画度:授業ごとの予習レポート・小課題（事後課題）(40%)、各授業の振り返り(30%),随時受け付ける。原則、事前にメールで予約すること。,"ガイダンス,日本のプログラミング教育について,Viscuit を用いたプログラミングを体験します,Viscuit を用いて ""Computer Science"" の基本概念に触れます,Scratch を用いたプログラミングを体験します,Pythonの基礎を学びます,アルゴリズムについて学びます,Pythonを用いた「反復処理」について学びます,Pythonを用いた「条件分岐」について学びます,Pythonを用いた「関数」を学びます,学んだPythonのプログラムを応用をします,Pythonを用いた「情報システム」を学びます（1回目）,Pythonを用いた「情報システム」を学びます（2回目）,「生成AI」について学びます,リフレクション"
